Item_Identifier,Item_Weight,Item_Visibility,Year,Outlet_Identifier,Item_Type,Item_MRP,MRP_Level,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Converted Sales
FDP24,20.6,0.083004078,19,OUT046,Baking Goods,119.4756,Medium,3,Tier 1,Supermarket Type1,1090.5804,0.709
FDU20,19.35,0.021490911,17,OUT049,Fruits and Vegetables,122.1098,Medium,2,Tier 1,Supermarket Type1,2892.2352,1.88
FDW44,9.5,0.058835928,18,OUT010,Fruits and Vegetables,170.2448,High,2,Tier 3,Grocery Store,170.4448,0.111
FDY39,5.305,0.07871639,18,OUT010,Meat,183.5608,High,2,Tier 3,Grocery Store,551.2824,0.358
DRD37,9.8,0.013869809,14,OUT045,Soft Drinks,47.406,Low,2,Tier 2,Supermarket Type1,978.726,0.636
FDZ35,9.6,0.022274264,12,OUT035,Breads,101.699,Medium,3,Tier 2,Supermarket Type1,2992.771,1.945
FDB50,13,0.153618566,19,OUT046,Canned,79.6986,Medium,3,Tier 1,Supermarket Type1,1480.0734,0.962
FDY10,17.6,0.049267759,7,OUT018,Snack Foods,113.0176,Medium,2,Tier 3,Supermarket Type2,2862.94,1.861
FDK41,14.3,0.12826315,9,OUT017,Frozen Foods,83.4224,Medium,2,Tier 2,Supermarket Type1,681.7792,0.443
FDL24,10.3,0.02494708,14,OUT045,Baking Goods,172.3422,High,2,Tier 2,Supermarket Type1,5690.5926,3.699
FDZ07,15.1,0.157154813,18,OUT010,Fruits and Vegetables,62.2194,Low,2,Tier 3,Grocery Store,185.7582,0.121
DRI03,6.03,0.022832115,9,OUT017,Dairy,176.7028,High,2,Tier 2,Supermarket Type1,1416.8224,0.921
FDW56,7.68,0.070900282,19,OUT046,Fruits and Vegetables,192.6162,High,3,Tier 1,Supermarket Type1,5580.0698,3.627
FDR20,20,0.028180789,14,OUT045,Fruits and Vegetables,46.8744,Low,2,Tier 2,Supermarket Type1,905.488,0.589
FDC50,15.85,0.136497913,19,OUT046,Canned,96.3094,Medium,3,Tier 1,Supermarket Type1,2856.282,1.857
NCX05,15.2,0.162462044,18,OUT010,Health and Hygiene,117.6492,Medium,2,Tier 3,Grocery Store,347.5476,0.226
FDU23,12.15,0.023573369,19,OUT046,Breads,164.7184,High,3,Tier 1,Supermarket Type1,3962.8416,2.576
FDN45,19.35,0.118080437,12,OUT035,Snack Foods,222.6088,Very_High,3,Tier 2,Supermarket Type1,6040.1376,3.926
FDQ51,16,0.017466284,31,OUT027,Meat,45.4718,Low,2,Tier 3,Supermarket Type3,1323.6104,0.86
FDH21,10.395,0.031073804,31,OUT027,Seafood,157.5604,High,2,Tier 3,Supermarket Type3,5704.5744,3.708
DRZ11,8.85,0.113302223,9,OUT017,Soft Drinks,125.1388,Medium,2,Tier 2,Supermarket Type1,1114.5492,0.724
NCI43,19.85,0.025968706,19,OUT046,Household,49.5376,Low,3,Tier 1,Supermarket Type1,1006.6896,0.654
DRF03,19.1,0.045400017,14,OUT045,Dairy,38.8138,Low,2,Tier 2,Supermarket Type1,690.4346,0.449
NCF30,17,0.126958147,9,OUT017,Household,125.8362,Medium,2,Tier 2,Supermarket Type1,2516.724,1.636
FDB12,11.15,0.105307659,19,OUT046,Baking Goods,102.0648,Medium,3,Tier 1,Supermarket Type1,1038.648,0.675
FDW19,12.35,0.038500421,19,OUT046,Fruits and Vegetables,110.757,Medium,3,Tier 1,Supermarket Type1,1208.427,0.785
FDB45,20.85,0.02137305,14,OUT045,Fruits and Vegetables,103.3306,Medium,2,Tier 2,Supermarket Type1,522.653,0.34
FDY55,16.75,0.081486797,31,OUT027,Fruits and Vegetables,255.7988,Very_High,2,Tier 3,Supermarket Type3,9251.9568,6.014
FDK40,7.035,0.021875247,18,OUT010,Frozen Foods,263.291,Very_High,2,Tier 3,Grocery Store,525.982,0.342
FDU11,4.785,0.09297084,7,OUT018,Breads,122.0098,Medium,2,Tier 3,Supermarket Type2,2048.6666,1.332
FDP33,18.7,0.088839949,31,OUT027,Snack Foods,254.2672,Very_High,2,Tier 3,Supermarket Type3,10993.6896,7.146
FDN49,17.25,0.209600084,18,OUT010,Breakfast,40.348,Low,2,Tier 3,Grocery Store,39.948,0.026
FDR15,9.3,0.033505804,14,OUT045,Meat,153.4314,High,2,Tier 2,Supermarket Type1,2482.1024,1.613
FDO38,17.25,0.072986772,14,OUT045,Canned,78.8986,Medium,2,Tier 2,Supermarket Type1,1635.8706,1.063
DRC24,17.85,0.024961677,9,OUT017,Soft Drinks,153.1998,High,2,Tier 2,Supermarket Type1,3383.5956,2.199
NCU17,5.32,0.092433518,31,OUT027,Health and Hygiene,101.6674,Medium,2,Tier 3,Supermarket Type3,1426.1436,0.927
FDK22,9.8,0.026081567,12,OUT035,Snack Foods,217.585,Very_High,3,Tier 2,Supermarket Type1,4327.7,2.813
DRP35,18.85,0.09079168,29,OUT013,Hard Drinks,127.1336,Medium,1,Tier 3,Supermarket Type1,3579.3408,2.327
NCL29,9.695,0.113917889,12,OUT035,Health and Hygiene,158.2604,High,3,Tier 2,Supermarket Type1,2693.8268,1.751
FDG53,10,0.045928229,17,OUT049,Frozen Foods,138.118,High,2,Tier 1,Supermarket Type1,1957.452,1.272
DRM23,16.6,0.135620265,29,OUT013,Hard Drinks,172.9422,High,1,Tier 3,Supermarket Type1,2931.5174,1.905
FDR09,18.25,0.077709902,12,OUT035,Snack Foods,259.6962,Very_High,3,Tier 2,Supermarket Type1,5438.9202,3.535
NCJ30,5.82,0.134975628,18,OUT010,Household,170.579,High,2,Tier 3,Grocery Store,509.337,0.331
FDZ04,9.31,0.037955094,19,OUT046,Frozen Foods,62.151,Low,3,Tier 1,Supermarket Type1,1201.769,0.781
FDM10,18.25,0.076125668,14,OUT045,Snack Foods,214.0218,Very_High,2,Tier 2,Supermarket Type1,2564.6616,1.667
FDR21,19.7,0.067039526,17,OUT049,Snack Foods,178.337,High,2,Tier 1,Supermarket Type1,1411.496,0.917
DRJ49,6.865,0.014021626,14,OUT045,Soft Drinks,127.1652,Medium,2,Tier 2,Supermarket Type1,1291.652,0.84
FDJ15,11.35,0.023358738,17,OUT049,Dairy,184.4608,High,2,Tier 1,Supermarket Type1,4042.7376,2.628
FDO34,17.7,0.029933275,12,OUT035,Snack Foods,169.0816,High,3,Tier 2,Supermarket Type1,5201.2296,3.381
NCG30,20.2,0.111777297,31,OUT027,Household,124.6046,Medium,2,Tier 3,Supermarket Type3,2863.6058,1.861
FDS60,20.85,0.032448523,19,OUT046,Baking Goods,177.866,High,3,Tier 1,Supermarket Type1,1078.596,0.701
FDX57,17.25,0.047266211,19,OUT046,Snack Foods,97.0068,Medium,3,Tier 1,Supermarket Type1,1846.9292,1.201
FDS40,15.35,0.01404119,17,OUT049,Frozen Foods,38.419,Low,2,Tier 1,Supermarket Type1,476.047,0.309
FDT08,13.65,0.04917754,29,OUT013,Fruits and Vegetables,151.805,High,1,Tier 3,Supermarket Type1,2696.49,1.753
NCN29,15.2,0.020280476,18,OUT010,Health and Hygiene,49.1034,Low,2,Tier 3,Grocery Store,194.4136,0.126
FDY27,6.38,0.031962866,14,OUT045,Dairy,178.0344,High,2,Tier 2,Supermarket Type1,535.3032,0.348
NCR29,7.565,0.054376275,31,OUT027,Health and Hygiene,56.293,Low,2,Tier 3,Supermarket Type3,2546.685,1.655
FDZ02,6.905,0.063850971,18,OUT010,Dairy,97.2726,Medium,2,Tier 3,Grocery Store,195.7452,0.127
FDP40,4.555,0.060154968,31,OUT019,Frozen Foods,110.1544,Medium,3,Tier 1,Grocery Store,111.8544,0.073
FDE11,17.7,0.134441765,31,OUT027,Starchy Foods,183.9924,High,2,Tier 3,Supermarket Type3,6478.234,4.211
DRL35,15.7,0.03067808,29,OUT013,Hard Drinks,44.777,Low,1,Tier 3,Supermarket Type1,605.878,0.394
FDD56,15.2,0.103758647,12,OUT035,Fruits and Vegetables,177.0054,High,3,Tier 2,Supermarket Type1,2976.7918,1.935
FDO39,6.985,0.136701678,31,OUT027,Meat,182.1608,High,2,Tier 3,Supermarket Type3,5880.3456,3.822
FDG32,19.85,0.308145448,31,OUT019,Fruits and Vegetables,222.0772,Very_High,3,Tier 1,Grocery Store,889.5088,0.578
FDU50,5.75,0.074806196,31,OUT027,Dairy,112.9176,Medium,2,Tier 3,Supermarket Type3,3435.528,2.233
FDX24,8.355,0.013926425,12,OUT035,Baking Goods,93.0462,Medium,3,Tier 2,Supermarket Type1,1110.5544,0.722
NCN43,12.15,0.006754117,29,OUT013,Others,122.173,Medium,1,Tier 3,Supermarket Type1,2586.633,1.681
FDK34,13.35,0.041787825,7,OUT018,Snack Foods,238.7564,Very_High,2,Tier 3,Supermarket Type2,1906.8512,1.239
NCN41,17,0.052209303,19,OUT046,Health and Hygiene,122.373,Medium,3,Tier 1,Supermarket Type1,2586.633,1.681
FDW16,17.35,0.041538713,17,OUT049,Frozen Foods,93.1804,Medium,2,Tier 1,Supermarket Type1,1378.206,0.896
FDP46,15.35,0.13064231,31,OUT019,Snack Foods,88.383,Medium,3,Tier 1,Grocery Store,89.883,0.058
NCD07,9.1,0.055382616,29,OUT013,Household,115.0518,Medium,1,Tier 3,Supermarket Type1,683.1108,0.444
FDG44,6.13,0.113332135,19,OUT046,Fruits and Vegetables,54.1298,Low,3,Tier 1,Supermarket Type1,1348.245,0.876
FDC20,10.65,0.041970938,31,OUT019,Fruits and Vegetables,55.4272,Low,3,Tier 1,Grocery Store,111.8544,0.073
FDB23,19.2,0.005583951,29,OUT013,Starchy Foods,226.9062,Very_High,1,Tier 3,Supermarket Type1,4514.124,2.934
DRK59,8.895,0.075757177,7,OUT018,Hard Drinks,233.8616,Very_High,2,Tier 3,Supermarket Type2,937.4464,0.609
FDT31,19.75,0.012467648,17,OUT049,Fruits and Vegetables,188.1872,High,2,Tier 1,Supermarket Type1,2458.1336,1.598
FDB15,10.895,0.137368051,7,OUT018,Dairy,264.3568,Very_High,2,Tier 3,Supermarket Type2,4745.8224,3.085
FDI56,7.325,0.092933158,31,OUT027,Fruits and Vegetables,91.0146,Medium,2,Tier 3,Supermarket Type3,3466.1548,2.253
NCQ17,10.3,0.117593973,9,OUT017,Health and Hygiene,154.463,High,2,Tier 2,Supermarket Type1,2503.408,1.627
FDH44,19.1,0.026018497,9,OUT017,Fruits and Vegetables,148.2418,High,2,Tier 2,Supermarket Type1,3089.9778,2.008
FDP40,4.555,0.034410585,17,OUT049,Frozen Foods,111.3544,Medium,2,Tier 1,Supermarket Type1,1342.2528,0.872
NCR17,9.8,0.02426524,31,OUT027,Health and Hygiene,114.0492,Medium,2,Tier 3,Supermarket Type3,3938.8728,2.56
NCO53,16.2,0.176175402,9,OUT017,Health and Hygiene,184.0608,High,2,Tier 2,Supermarket Type1,2021.3688,1.314
FDG38,8.975,0.088257771,18,OUT010,Canned,84.1224,Medium,2,Tier 3,Grocery Store,170.4448,0.111
FDO01,21.1,0.020750867,17,OUT049,Breakfast,128.7994,Medium,2,Tier 1,Supermarket Type1,1927.491,1.253
NCQ43,17.75,0.111527348,14,OUT045,Others,110.2912,Medium,2,Tier 2,Supermarket Type1,873.5296,0.568
FDU47,12.8,0.114318263,7,OUT018,Breads,142.2838,High,2,Tier 3,Supermarket Type2,421.4514,0.274
FDZ02,6.905,0.038363204,9,OUT017,Dairy,98.1726,Medium,2,Tier 2,Supermarket Type1,587.2356,0.382
FDS04,10.195,0.245483691,18,OUT010,Frozen Foods,141.8838,High,2,Tier 3,Grocery Store,280.9676,0.183
FDQ31,5.785,0.053930934,17,OUT049,Fruits and Vegetables,87.3856,Medium,2,Tier 1,Supermarket Type1,878.856,0.571
FDT57,15.2,0.018942606,31,OUT027,Snack Foods,236.0248,Very_High,2,Tier 3,Supermarket Type3,6636.6944,4.314
FDK50,7.96,0.028339599,29,OUT013,Canned,162.4894,High,1,Tier 3,Supermarket Type1,1779.6834,1.157
FDB49,8.3,0.030151351,19,OUT046,Baking Goods,98.7384,Medium,3,Tier 1,Supermarket Type1,492.692,0.32
FDN56,5.46,0.107274301,14,OUT045,Fruits and Vegetables,145.5786,High,2,Tier 2,Supermarket Type1,3900.9222,2.536
FDU02,13.35,0.102670882,17,OUT049,Dairy,228.6352,Very_High,2,Tier 1,Supermarket Type1,3435.528,2.233
FDK26,5.46,0.032177405,19,OUT046,Canned,185.424,High,3,Tier 1,Supermarket Type1,5219.872,3.393
DRA24,19.35,0.039734882,31,OUT027,Soft Drinks,165.7868,High,2,Tier 3,Supermarket Type3,4913.604,3.194
FDF53,20.75,0.083536989,29,OUT013,Frozen Foods,180.3318,High,1,Tier 3,Supermarket Type1,4149.9314,2.697
NCZ30,6.59,0.026225693,17,OUT049,Household,119.0098,Medium,2,Tier 1,Supermarket Type1,2530.7058,1.645
FDF14,7.55,0.0273235,9,OUT017,Canned,151.934,High,2,Tier 2,Supermarket Type1,1837.608,1.194
FDU40,20.85,0.03747983,14,OUT045,Frozen Foods,192.7478,High,2,Tier 2,Supermarket Type1,2131.2258,1.385
NCL18,18.85,0.168531813,9,OUT017,Household,192.5136,High,2,Tier 2,Supermarket Type1,2916.204,1.896
FDP25,15.2,0.021293909,7,OUT018,Canned,218.4824,Very_High,2,Tier 3,Supermarket Type2,1528.6768,0.994
NCV05,10.1,0.030269774,14,OUT045,Health and Hygiene,152.4656,High,2,Tier 2,Supermarket Type1,2934.8464,1.908
FDV49,10,0.025822315,12,OUT035,Canned,262.7226,Very_High,3,Tier 2,Supermarket Type1,3171.8712,2.062
FDJ56,8.985,0.183688161,17,OUT049,Fruits and Vegetables,100.27,Medium,2,Tier 1,Supermarket Type1,998.7,0.649
FDI40,11.5,0.125579201,12,OUT035,Frozen Foods,99.7358,Medium,3,Tier 2,Supermarket Type1,1105.8938,0.719
NCK05,20.1,0.077079177,31,OUT027,Health and Hygiene,61.5536,Low,2,Tier 3,Supermarket Type3,918.804,0.597
NCI43,19.85,0.026074491,7,OUT018,Household,48.6376,Low,2,Tier 3,Supermarket Type2,575.2512,0.374
NCE42,21.1,0.010593469,29,OUT013,Household,234.2958,Very_High,1,Tier 3,Supermarket Type1,3739.1328,2.43
FDP40,4.555,0.034357169,19,OUT046,Frozen Foods,112.6544,Medium,3,Tier 1,Supermarket Type1,2684.5056,1.745
FDU40,20.85,0.037396901,12,OUT035,Frozen Foods,193.8478,High,3,Tier 2,Supermarket Type1,2712.4692,1.763
DRK47,7.905,0.064011067,29,OUT013,Hard Drinks,230.2694,Very_High,1,Tier 3,Supermarket Type1,4567.388,2.969
FDR32,6.78,0.085981978,14,OUT045,Fruits and Vegetables,228.4694,Very_High,2,Tier 2,Supermarket Type1,5480.8656,3.563
FDS43,11.65,0.040318693,31,OUT027,Fruits and Vegetables,186.224,High,2,Tier 3,Supermarket Type3,5033.448,3.272
FDH50,15,0.161762835,14,OUT045,Canned,185.9266,High,2,Tier 2,Supermarket Type1,2581.9724,1.678
FDZ09,17.6,0.104878967,19,OUT046,Snack Foods,164.8868,High,3,Tier 1,Supermarket Type1,2456.802,1.597
FDS19,13.8,0.107469819,18,OUT010,Fruits and Vegetables,77.8012,Medium,2,Tier 3,Grocery Store,227.7036,0.148
NCU30,5.11,0.034868095,12,OUT035,Household,163.821,High,3,Tier 2,Supermarket Type1,2120.573,1.378
FDI27,8.71,0.046079575,14,OUT045,Dairy,43.5744,Low,2,Tier 2,Supermarket Type1,407.4696,0.265
FDQ09,7.235,0.058083831,29,OUT013,Snack Foods,113.6834,Medium,1,Tier 3,Supermarket Type1,230.3668,0.15
FDB35,12.3,0.064618976,19,OUT046,Starchy Foods,89.8804,Medium,3,Tier 1,Supermarket Type1,1286.3256,0.836
DRD12,6.96,0.077178965,12,OUT035,Soft Drinks,93.1146,Medium,3,Tier 2,Supermarket Type1,2189.1504,1.423
FDW07,18,0.142910689,17,OUT049,Fruits and Vegetables,89.6514,Medium,2,Tier 1,Supermarket Type1,1859.5794,1.209
DRE13,6.28,0.027682047,29,OUT013,Soft Drinks,85.5198,Medium,1,Tier 3,Supermarket Type1,1744.396,1.134
FDR11,10.5,0.142511272,12,OUT035,Breads,158.7578,High,3,Tier 2,Supermarket Type1,2246.4092,1.46
DRG36,14.15,0.09557165,14,OUT045,Soft Drinks,171.0106,High,2,Tier 2,Supermarket Type1,4106.6544,2.669
DRD37,9.8,0.02316823,18,OUT010,Soft Drinks,47.506,Low,2,Tier 3,Grocery Store,186.424,0.121
FDX03,15.85,0.061045133,29,OUT013,Meat,44.7744,Low,1,Tier 3,Supermarket Type1,181.0976,0.118
FDU46,10.3,0.011148865,14,OUT045,Snack Foods,84.854,Medium,2,Tier 2,Supermarket Type1,778.986,0.506
FDV03,17.6,0.058091269,19,OUT046,Meat,156.2314,High,3,Tier 1,Supermarket Type1,2947.4966,1.916
FDZ37,8.1,0.019672774,31,OUT027,Canned,86.4198,Medium,2,Tier 3,Supermarket Type3,1918.8356,1.247
FDI24,10.3,0.078678276,29,OUT013,Baking Goods,177.037,High,1,Tier 3,Supermarket Type1,3705.177,2.408
FDX33,9.195,0.117667492,17,OUT049,Snack Foods,159.5578,High,2,Tier 1,Supermarket Type1,1283.6624,0.834
FDG47,12.8,0.069902438,7,OUT018,Starchy Foods,261.3252,Very_High,2,Tier 3,Supermarket Type2,3410.2276,2.217
FDZ57,10,0.037757166,12,OUT035,Snack Foods,126.7994,Medium,3,Tier 2,Supermarket Type1,1284.994,0.835
FDT04,17.25,0.107021498,12,OUT035,Frozen Foods,40.5822,Low,3,Tier 2,Supermarket Type1,785.644,0.511
FDO49,10.6,0.032892112,31,OUT027,Breakfast,49.3008,Low,2,Tier 3,Supermarket Type3,1518.024,0.987
NCB43,20.2,0.100477461,9,OUT017,Household,187.7898,High,2,Tier 2,Supermarket Type1,2245.0776,1.459
NCL53,7.5,0.036228067,12,OUT035,Health and Hygiene,175.2028,High,3,Tier 2,Supermarket Type1,4427.57,2.878
FDM01,7.895,0.094488485,29,OUT013,Breakfast,100.7332,Medium,1,Tier 3,Supermarket Type1,1230.3984,0.8
FDO12,15.75,0.055154296,7,OUT018,Baking Goods,195.5452,High,2,Tier 3,Supermarket Type2,1174.4712,0.763
FDO13,7.865,0.106907604,31,OUT019,Breakfast,162.8526,High,3,Tier 1,Grocery Store,493.3578,0.321
FDI04,13.65,0.073060301,14,OUT045,Frozen Foods,196.2426,High,2,Tier 2,Supermarket Type1,2570.6538,1.671
NCK05,20.1,0.077439606,12,OUT035,Health and Hygiene,60.6536,Low,3,Tier 2,Supermarket Type1,980.0576,0.637
FDP28,13.65,0.080968973,7,OUT018,Frozen Foods,259.7936,Very_High,2,Tier 3,Supermarket Type2,2609.936,1.696
FDJ44,12.3,0.106492562,17,OUT049,Fruits and Vegetables,176.3396,High,2,Tier 1,Supermarket Type1,1395.5168,0.907
FDS25,6.885,0.139330557,31,OUT027,Canned,109.5228,Medium,2,Tier 3,Supermarket Type3,3426.2068,2.227
FDC02,21.35,0.068822477,19,OUT046,Canned,258.3278,Very_High,3,Tier 1,Supermarket Type1,7028.8506,4.569
FDT23,7.72,0.074669288,29,OUT013,Breads,76.3986,Medium,1,Tier 3,Supermarket Type1,1402.1748,0.911
NCD31,12.1,0.025834128,18,OUT010,Household,165.1526,High,2,Tier 3,Grocery Store,164.4526,0.107
FDV19,14.85,0.035227697,29,OUT013,Fruits and Vegetables,159.5578,High,1,Tier 3,Supermarket Type1,2085.9514,1.356
NCQ30,7.725,0.050901814,31,OUT019,Household,120.5414,Medium,3,Tier 1,Grocery Store,365.5242,0.238
NCD18,16,0.072965144,7,OUT018,Household,231.3668,Very_High,2,Tier 3,Supermarket Type2,4607.336,2.995
FDL10,8.395,0.039492207,19,OUT046,Snack Foods,97.3042,Medium,3,Tier 1,Supermarket Type1,1091.2462,0.709
FDX20,7.365,0.042552205,12,OUT035,Fruits and Vegetables,225.172,Very_High,3,Tier 2,Supermarket Type1,3395.58,2.207
FDM32,20.5,0.020587886,29,OUT013,Fruits and Vegetables,89.583,Medium,1,Tier 3,Supermarket Type1,1797.66,1.168
FDR09,18.25,0.130095044,18,OUT010,Snack Foods,257.2962,Very_High,2,Tier 3,Grocery Store,517.9924,0.337
FDL34,16,0.040747616,31,OUT027,Snack Foods,140.2496,High,2,Tier 3,Supermarket Type3,4093.3384,2.661
NCK42,7.475,0.013146636,14,OUT045,Household,214.5192,Very_High,2,Tier 2,Supermarket Type1,2804.3496,1.823
FDU23,12.15,0.02176755,14,OUT045,Breads,164.6184,High,2,Tier 2,Supermarket Type1,3797.7232,2.469
DRI01,7.97,0.037775898,7,OUT018,Soft Drinks,172.0422,High,2,Tier 3,Supermarket Type2,5690.5926,3.699
FDG16,15.25,0.08995645,17,OUT049,Frozen Foods,217.1192,Very_High,2,Tier 1,Supermarket Type1,3235.788,2.103
FDY56,16.35,0.062665642,7,OUT018,Fruits and Vegetables,225.6062,Very_High,2,Tier 3,Supermarket Type2,1579.9434,1.027
FDO24,11.1,0.176182345,12,OUT035,Baking Goods,158.1604,High,3,Tier 2,Supermarket Type1,1901.5248,1.236
NCV29,11.8,0.022843501,19,OUT046,Health and Hygiene,177.8686,High,3,Tier 1,Supermarket Type1,4621.9836,3.004
FDQ48,14.3,0.034411238,19,OUT046,Baking Goods,98.6726,Medium,3,Tier 1,Supermarket Type1,782.9808,0.509
FDU15,13.65,0.031338692,9,OUT017,Meat,36.6532,Low,2,Tier 2,Supermarket Type1,755.0172,0.491
FDS47,16.75,0.128861359,12,OUT035,Breads,86.2856,Medium,3,Tier 2,Supermarket Type1,1406.1696,0.914
FDO50,16.25,0.078290271,17,OUT049,Canned,93.1804,Medium,2,Tier 1,Supermarket Type1,1194.4452,0.776
FDW48,18,0.008539208,12,OUT035,Baking Goods,81.2618,Medium,3,Tier 2,Supermarket Type1,402.809,0.262
FDV20,20.2,0.100095288,18,OUT010,Fruits and Vegetables,125.2678,Medium,2,Tier 3,Grocery Store,127.1678,0.083
FDW47,15,0.046447328,17,OUT049,Breads,121.5414,Medium,2,Tier 1,Supermarket Type1,2436.828,1.584
FDA07,7.55,0.030794774,31,OUT027,Fruits and Vegetables,122.9072,Medium,2,Tier 3,Supermarket Type3,4532.7664,2.946
FDZ16,16.85,0.159081735,31,OUT027,Frozen Foods,193.5478,High,2,Tier 3,Supermarket Type3,4649.9472,3.022
FDN09,14.15,0.034705807,31,OUT027,Snack Foods,241.6828,Very_High,2,Tier 3,Supermarket Type3,4873.656,3.168
FDB50,13,0.154487495,9,OUT017,Canned,77.2986,Medium,2,Tier 2,Supermarket Type1,1246.3776,0.81
NCL06,14.65,0.072178679,17,OUT049,Household,262.9594,Very_High,2,Tier 1,Supermarket Type1,5233.188,3.402
DRG03,14.5,0.061686402,31,OUT027,Dairy,153.9998,High,2,Tier 3,Supermarket Type3,5229.1932,3.399
DRM59,5.88,0.003599378,14,OUT045,Hard Drinks,152.2998,High,2,Tier 2,Supermarket Type1,3075.996,1.999
FDU25,12.35,0.026832182,9,OUT017,Canned,57.3246,Low,2,Tier 2,Supermarket Type1,1332.2658,0.866
NCU42,9,0.019616991,9,OUT017,Household,169.6474,High,2,Tier 2,Supermarket Type1,2526.711,1.642
FDH21,10.395,0.05226427,18,OUT010,Seafood,158.4604,High,2,Tier 3,Grocery Store,158.4604,0.103
DRO47,10.195,0.112203445,12,OUT035,Hard Drinks,111.786,Medium,3,Tier 2,Supermarket Type1,1697.79,1.104
FDC44,15.6,0.171761077,31,OUT027,Fruits and Vegetables,115.7518,Medium,2,Tier 3,Supermarket Type3,5351.0346,3.478
NCL29,9.695,0.114170506,14,OUT045,Health and Hygiene,158.9604,High,2,Tier 2,Supermarket Type1,1743.0644,1.133
FDL48,19.35,0.082266419,19,OUT046,Baking Goods,48.8034,Low,3,Tier 1,Supermarket Type1,340.2238,0.221
FDJ21,16.7,0.038685176,7,OUT018,Snack Foods,146.6102,High,2,Tier 3,Supermarket Type2,2770.3938,1.801
FDT40,5.985,0.095795326,19,OUT046,Frozen Foods,128.4678,Medium,3,Tier 1,Supermarket Type1,508.6712,0.331
NCD43,8.85,0.026814124,18,OUT010,Household,103.7964,Medium,2,Tier 3,Grocery Store,210.3928,0.137
FDM28,15.7,0.045203854,19,OUT046,Frozen Foods,180.266,High,3,Tier 1,Supermarket Type1,1617.894,1.052
FDR35,12.5,0.020697723,19,OUT046,Breads,198.8742,High,3,Tier 1,Supermarket Type1,5773.1518,3.753
NCP17,19.35,0.027827268,7,OUT018,Health and Hygiene,65.6168,Low,2,Tier 3,Supermarket Type2,383.5008,0.249
FDT23,7.72,0.074883035,14,OUT045,Breads,79.8986,Medium,2,Tier 2,Supermarket Type1,1090.5804,0.709
FDX15,17.2,0.156298858,19,OUT046,Meat,162.1578,High,3,Tier 1,Supermarket Type1,1283.6624,0.834
NCU42,9,0.019412192,31,OUT027,Household,166.5474,High,2,Tier 3,Supermarket Type3,4379.6324,2.847
FDV23,11,0.105324246,31,OUT027,Breads,125.7046,Medium,2,Tier 3,Supermarket Type3,3237.1196,2.104
FDY34,10.5,0.019227816,31,OUT019,Snack Foods,163.9842,High,3,Tier 1,Grocery Store,331.5684,0.216
FDE16,8.895,0.044093978,18,OUT010,Frozen Foods,208.3954,Very_High,2,Tier 3,Grocery Store,1041.977,0.677
FDV60,20.2,0.117599259,14,OUT045,Baking Goods,195.311,High,2,Tier 2,Supermarket Type1,3338.987,2.17
FDQ44,20.5,0.036140297,19,OUT046,Fruits and Vegetables,120.0756,Medium,3,Tier 1,Supermarket Type1,2302.3364,1.497
FDZ09,17.6,0.104791689,29,OUT013,Snack Foods,165.2868,High,1,Tier 3,Supermarket Type1,3111.9492,2.023
FDW36,11.15,0.057021156,17,OUT049,Baking Goods,106.8622,Medium,2,Tier 1,Supermarket Type1,2011.3818,1.307
NCZ30,6.59,0.026058181,31,OUT027,Household,121.9098,Medium,2,Tier 3,Supermarket Type3,3374.2744,2.193
FDL09,19.6,0.12829573,14,OUT045,Snack Foods,167.2816,High,2,Tier 2,Supermarket Type1,2013.3792,1.309
FDE05,10.895,0.03263762,9,OUT017,Frozen Foods,147.7102,High,2,Tier 2,Supermarket Type1,1895.5326,1.232
DRO35,13.85,0.034765901,9,OUT017,Hard Drinks,114.2492,Medium,2,Tier 2,Supermarket Type1,1853.5872,1.205
FDN60,15.1,0.095696334,9,OUT017,Baking Goods,159.7604,High,2,Tier 2,Supermarket Type1,2693.8268,1.751
NCZ29,15,0.071371458,19,OUT046,Health and Hygiene,125.2362,Medium,3,Tier 1,Supermarket Type1,1384.1982,0.9
FDX08,12.85,0.022696131,7,OUT018,Fruits and Vegetables,179.9318,High,2,Tier 3,Supermarket Type2,2706.477,1.759
FDZ16,16.85,0.267565911,18,OUT010,Frozen Foods,194.1478,High,2,Tier 3,Grocery Store,1162.4868,0.756
DRL37,15.5,0.053327763,29,OUT013,Soft Drinks,44.477,Low,1,Tier 3,Supermarket Type1,865.54,0.563
FDL21,15.85,0.007145063,12,OUT035,Snack Foods,41.048,Low,3,Tier 2,Supermarket Type1,479.376,0.312
FDW10,21.2,0.071076055,9,OUT017,Snack Foods,174.837,High,2,Tier 2,Supermarket Type1,5469.547,3.555
FDB53,13.35,0.139426044,12,OUT035,Frozen Foods,148.3392,High,3,Tier 2,Supermarket Type1,3877.6192,2.52
DRM49,6.11,0.151925271,12,OUT035,Soft Drinks,46.6086,Low,3,Tier 2,Supermarket Type1,624.5204,0.406
NCD06,13,0.099479703,17,OUT049,Household,44.906,Low,2,Tier 1,Supermarket Type1,652.484,0.424
FDN10,11.5,0.045900448,31,OUT027,Snack Foods,118.9124,Medium,2,Tier 3,Supermarket Type3,2844.2976,1.849
FDS13,6.465,0.21799414,31,OUT019,Canned,266.5884,Very_High,3,Tier 1,Grocery Store,1324.942,0.861
